"filename", "language", "Kotlinscript", "Markdown", "Properties", "Batch", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\account.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\add.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\ant_design_star_filled.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\baseline_arrow_back_24.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\bookmark.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\bookmark_border.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\circle_background.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\close.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\download.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\download_done.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\downloading.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\edittext_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\favorite.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\favorite_red.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\forward_10second.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\full_screen.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\gradient_background.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_apple.xml", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_back.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_clock.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
